v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-1.0000,1.0000,-30.0000,-10.0000,-1.708159,-0.290836
-4.0000,-1.0000,1.0000,-30.0000,0.0000,-1.257046,-0.354113
-4.0000,-1.0000,1.0000,-30.0000,10.0000,-0.107418,-0.475126
-4.0000,-1.0000,1.0000,-30.0000,20.0000,1.609270,-0.577153
-4.0000,-1.0000,1.0000,-30.0000,30.0000,2.923498,-0.607542
-4.0000,-1.0000,1.0000,-20.0000,-30.0000,-1.557398,-0.357868
-4.0000,-1.0000,1.0000,-20.0000,-20.0000,-0.619894,-0.258489
-4.0000,-1.0000,1.0000,-20.0000,-10.0000,-0.129864,-0.212085
-4.0000,-1.0000,1.0000,-20.0000,0.0000,0.009973,-0.243947
-4.0000,-1.0000,1.0000,-20.0000,10.0000,0.591868,-0.403429
-4.0000,-1.0000,1.0000,-20.0000,20.0000,2.118768,-0.612620
-4.0000,-1.0000,1.0000,-20.0000,30.0000,3.702863,-0.693278
-4.0000,-1.0000,1.0000,-10.0000,-30.0000,-0.618741,-0.415938
-4.0000,-1.0000,1.0000,-10.0000,-20.0000,0.060302,-0.319029
-4.0000,-1.0000,1.0000,-10.0000,-10.0000,0.360151,-0.259364
-4.0000,-1.0000,1.0000,-10.0000,0.0000,0.548804,-0.270526
-4.0000,-1.0000,1.0000,-10.0000,10.0000,1.106825,-0.418128
-4.0000,-1.0000,1.0000,-10.0000,20.0000,2.601015,-0.685843
-4.0000,-1.0000,1.0000,-10.0000,30.0000,4.013199,-0.812365
-4.0000,-1.0000,1.0000,0.0000,-30.0000,-0.421957,-0.555025
-4.0000,-1.0000,1.0000,0.0000,-20.0000,0.267012,-0.459249
-4.0000,-1.0000,1.0000,0.0000,-10.0000,0.608998,-0.353291
-4.0000,-1.0000,1.0000,0.0000,0.0000,0.803480,-0.327345
-4.0000,-1.0000,1.0000,0.0000,10.0000,1.282934,-0.466127
-4.0000,-1.0000,1.0000,0.0000,20.0000,2.679366,-0.675304
-4.0000,-1.0000,1.0000,0.0000,30.0000,3.848327,-0.843175
-4.0000,-1.0000,1.0000,10.0000,-30.0000,-0.604644,-0.697969
-4.0000,-1.0000,1.0000,10.0000,-20.0000,0.190711,-0.634503
-4.0000,-1.0000,1.0000,10.0000,-10.0000,0.678281,-0.511277
-4.0000,-1.0000,1.0000,10.0000,0.0000,1.655578,-0.404542
-4.0000,-1.0000,1.0000,10.0000,10.0000,2.228489,-0.466919
-4.0000,-1.0000,1.0000,10.0000,20.0000,2.825854,-0.621593
-4.0000,-1.0000,1.0000,10.0000,30.0000,3.739769,-0.765311
-4.0000,-1.0000,1.0000,20.0000,-30.0000,-1.095508,-0.843478
-4.0000,-1.0000,1.0000,20.0000,-20.0000,0.124464,-0.733430
-4.0000,-1.0000,1.0000,20.0000,-10.0000,1.714048,-0.513011
-4.0000,-1.0000,1.0000,20.0000,0.0000,2.507065,-0.356697
-4.0000,-1.0000,1.0000,20.0000,10.0000,2.801273,-0.376246
-4.0000,-1.0000,1.0000,20.0000,20.0000,3.177759,-0.507248
-4.0000,-1.0000,1.0000,20.0000,30.0000,3.969642,-0.650362
-4.0000,-1.0000,1.0000,30.0000,-30.0000,-1.683011,-0.961264
-4.0000,-1.0000,1.0000,30.0000,-20.0000,0.227932,-0.749716
-4.0000,-1.0000,1.0000,30.0000,-10.0000,2.081238,-0.507676
-4.0000,-1.0000,1.0000,30.0000,0.0000,3.170909,-0.331717
-4.0000,-1.0000,1.0000,30.0000,10.0000,3.512378,-0.314912
-4.0000,-1.0000,1.0000,30.0000,20.0000,3.901749,-0.414045
-4.0000,-1.0000,1.0000,30.0000,30.0000,4.542309,-0.541297
-4.0000,-1.0000,1.0000,35.0000,-30.0000,-1.646554,-0.904403
-4.0000,-1.0000,1.0000,35.0000,-20.0000,0.461002,-0.706227
-4.0000,-1.0000,1.0000,35.0000,-10.0000,2.477007,-0.483974
-4.0000,-1.0000,1.0000,35.0000,0.0000,3.650865,-0.326811
-4.0000,-1.0000,1.0000,35.0000,10.0000,4.007413,-0.302612
-4.0000,-1.0000,1.0000,35.0000,20.0000,4.365166,-0.383215
